Year,Avg Price,Min Price,Max Price,Avg Volume,Min Volume,Max Volume
1980,0.13618211562816912,0.11272300034761429,0.16127200424671173,103450092.3076923,35750400.0,469033600.0
1981,0.10872500763821696,0.06361600011587143,0.15122799575328827,32441600.0,0.0,231302400.0
1982,0.08559648772435528,0.04910700023174286,0.155691996216774,84499022.22222222,13596800.0,357078400.0
1983,0.16741296437583744,0.07700899988412857,0.282366007566452,176191200.0,1388800.0,2832345600.0
1984,0.11999651587139519,0.0976559966802597,0.15345999598503113,165987466.66666666,27686400.0,626796800.0
1985,0.09083532868509749,0.06473200023174286,0.13895100355148315,180545695.61752987,21504000.0,733980800.0
1986,0.1448114009071437,0.0976559966802597,0.1958709955215454,211134133.33333334,50176000.0,904131200.0
1987,0.348473407298563,0.18303599953651428,0.533482015132904,236708088.8888889,56638400.0,777280000.0
1988,0.3708081254883418,0.3169640004634857,0.4263390004634857,162549911.1111111,29937600.0,680960000.0
1989,0.3718296715700294,0.2901790142059326,0.4497770071029663,202413584.06374502,27854400.0,2127171200.0
1990,0.33502958301040864,0.21651799976825714,0.4263390004634857,175471200.0,44273600.0,933732800.0
1991,0.4687832450228078,0.359375,0.654017984867096,226955022.2222222,17987200.0,1868372800.0
1992,0.489037804511696,0.3705359995365143,0.625,161677002.3715415,2396800.0,848355200.0
1993,0.36571934532433276,0.19642899930477142,0.5825889706611633,223507111.1111111,39592000.0,2120596800.0
1994,0.30428981445581316,0.21986599266529083,0.390625,226989507.5697211,62272000.0,980134400.0
1995,0.3624689567136575,0.282366007566452,0.44754499197006226,295468806.374502,39390400.0,1211963200.0
1996,0.22263534428927267,0.14285700023174286,0.3169640004634857,209703266.40316206,42291200.0,1026625600.0
1997,0.16055929980107717,0.11383900046348572,0.26395100355148315,285000977.7777778,41316800.0,4190480000.0
1998,0.27306817774753644,0.13169600069522858,0.390625,456080019.12350595,111115200.0,2561350400.0
1999,0.5157720235239462,0.2857140004634857,1.0535709857940674,542429564.9402391,123681600.0,3357558400.0
2000,0.8176423811401979,0.24330399930477142,1.3426339626312256,477154581.67330676,70828800.0,7421640800.0
2001,0.3609958092572718,0.2578130066394806,0.48428601026535034,381398723.88663965,50629600.0,1873670400.0
2002,0.34116392576718235,0.23857100307941437,0.4673210084438324,304718846.21513945,39340000.0,1709467200.0
2003,0.3310846143153559,0.22714300453662872,0.44660699367523193,283063043.8247012,76098400.0,1555708000.0
2004,0.6345154936332627,0.3824999928474426,1.2423210144042969,484689348.2071713,141635200.0,2768427200.0
2005,1.667532739648781,1.1244640350341797,2.694999933242798,723940200.7968128,176383200.0,3164716800.0
2006,2.5308657341003418,1.791429042816162,3.3271429538726807,859566926.4,194770800.0,2663768800.0
2007,4.582251446723938,2.9592859745025635,7.248570919036865,983030664.0,352466800.0,3349298400.0
2008,5.063151249809871,2.8264288902282715,7.049643039703369,1130563600.0,271334000.0,3372969600.0
2009,5.24870941695939,2.7928569316864014,7.64107084274292,567759647.8087649,286454000.0,1831634000.0
2010,9.278291131395743,6.794642925262451,11.666428565979004,599725886.8525896,157494400.0,1867110000.0
2011,13.000189262557315,11.089285850524902,15.239286422729492,492486857.3705179,179662000.0,1880998000.0
2012,20.590586612502253,14.617142677307129,25.18107032775879,528762986.3453815,175753200.0,1506120000.0
2013,16.880097484208672,13.753570556640625,20.540714263916016,405820922.70916337,167554800.0,1460852400.0
2014,23.073999712666666,17.626785278320312,29.9375,252682341.03585657,57918400.0,1065523200.0
2015,30.02406874500898,23.0,33.6349983215332,207376020.71713147,52185600.0,648825200.0
2016,26.140552786716903,22.36750030517578,29.672500610351562,153224356.97211155,45903600.0,533478800.0
2017,37.646615058898924,28.9375,44.29999923706055,108511913.6,56106800.0,447940000.0
2018,47.29051002502442,36.647499084472656,58.36750030517578,136215684.8,50055600.0,384986800.0
2019,52.064223148908276,35.5,73.49250030517578,111979219.12350598,45448000.0,365248800.0
2020,95.36987587762258,53.15250015258789,138.7899932861328,157652282.53968254,46691300.0,426510000.0
2021,140.9536853501521,116.20999908447266,182.1300048828125,90306713.54581673,41000000.0,195432700.0
